subNum,length,trial,set,stim,targetfoil,resp,corr,rt
T2_4576_sternberg,2,1,FZ,W,F,<rshift>,1,1286
T2_4576_sternberg,2,2,FZ,S,F,<rshift>,1,1194
T2_4576_sternberg,2,3,FZ,K,F,<rshift>,1,1042
T2_4576_sternberg,2,4,FZ,W,F,<rshift>,1,1345
T2_4576_sternberg,2,5,FZ,Z,T,<lshift>,1,603
T2_4576_sternberg,2,6,FZ,Z,T,<lshift>,1,571
T2_4576_sternberg,2,7,FZ,P,F,<rshift>,1,617
T2_4576_sternberg,2,8,FZ,S,F,<rshift>,1,1159
T2_4576_sternberg,2,9,FZ,C,F,<rshift>,1,687
T2_4576_sternberg,2,10,FZ,H,F,<rshift>,1,570
T2_4576_sternberg,2,11,FZ,Z,T,<lshift>,1,583
T2_4576_sternberg,2,12,FZ,Q,F,<rshift>,1,557
T2_4576_sternberg,2,13,FZ,F,T,<lshift>,1,521
T2_4576_sternberg,2,14,FZ,F,T,<lshift>,1,482
T2_4576_sternberg,2,15,FZ,F,T,<lshift>,1,450
T2_4576_sternberg,2,16,FZ,N,F,<rshift>,1,530
T2_4576_sternberg,2,17,FZ,Z,T,<lshift>,1,851
T2_4576_sternberg,2,18,FZ,R,F,<rshift>,1,800
T2_4576_sternberg,2,19,FZ,Z,T,<lshift>,1,489
T2_4576_sternberg,2,20,FZ,Q,F,<rshift>,1,612
T2_4576_sternberg,2,21,FZ,F,T,<lshift>,1,531
T2_4576_sternberg,2,22,FZ,M,F,<rshift>,1,526
T2_4576_sternberg,2,23,FZ,M,F,<rshift>,1,619
T2_4576_sternberg,2,24,FZ,N,F,<rshift>,1,582
T2_4576_sternberg,2,25,FZ,F,T,<lshift>,1,621
T2_4576_sternberg,2,26,FZ,H,F,<rshift>,1,874
T2_4576_sternberg,2,27,FZ,H,F,<rshift>,1,672
T2_4576_sternberg,2,28,FZ,F,T,<lshift>,1,523
T2_4576_sternberg,2,29,FZ,F,T,<lshift>,1,516
T2_4576_sternberg,2,30,FZ,F,T,<lshift>,1,499
T2_4576_sternberg,2,31,FZ,Z,T,<lshift>,1,944
T2_4576_sternberg,2,32,FZ,D,F,<rshift>,1,621
T2_4576_sternberg,2,33,FZ,F,T,<lshift>,1,560
T2_4576_sternberg,2,34,FZ,Z,T,<lshift>,1,539
T2_4576_sternberg,2,35,FZ,T,F,<rshift>,1,657
T2_4576_sternberg,2,36,FZ,D,F,<rshift>,1,780
T2_4576_sternberg,2,37,FZ,W,F,<rshift>,1,633
T2_4576_sternberg,2,38,FZ,F,T,<lshift>,1,494
T2_4576_sternberg,2,39,FZ,M,F,<rshift>,1,695
